task,k_shot,seed,repeat,baseline,final_method,metric,baseline_value,final_value,delta
open+uuv->speedboat,50,2026,3,CE-Proto,RegMahaProxy-TC,auc,0.545944,0.645328,0.09938400000000003
open+uuv->speedboat,50,2026,4,CE-Proto,RegMahaProxy-TC,auc,0.545588,0.6764439999999999,0.13085599999999997
open+uuv->speedboat,50,2026,5,CE-Proto,RegMahaProxy-TC,auc,0.453884,0.67854,0.22465600000000002
open+uuv->speedboat,50,2026,6,CE-Proto,RegMahaProxy-TC,auc,0.546528,0.6913180000000001,0.14479000000000009
open+uuv->speedboat,50,2026,7,CE-Proto,RegMahaProxy-TC,auc,0.587552,0.6563840000000001,0.06883200000000012
open+uuv->speedboat,50,2026,8,CE-Proto,RegMahaProxy-TC,auc,0.58221,0.713028,0.130818
open+uuv->speedboat,50,2026,9,CE-Proto,RegMahaProxy-TC,auc,0.54559,0.6912119999999999,0.14562199999999992
open+uuv->speedboat,5,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.512316,0.4726,-0.039715999999999974
open+uuv->speedboat,5,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.489396,0.5179199999999999,0.02852399999999994
open+uuv->speedboat,5,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.590104,0.564496,-0.025607999999999964
open+uuv->speedboat,5,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.577356,0.563844,-0.013511999999999968
open+uuv->speedboat,5,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.541004,0.5215719999999999,-0.019432000000000116
open+uuv->speedboat,5,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.452936,0.46174399999999993,0.008807999999999927
open+uuv->speedboat,5,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.38592600000000005,0.383228,-0.0026980000000000337
open+uuv->speedboat,5,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.5120600000000001,0.547166,0.03510599999999997
open+uuv->speedboat,5,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.448688,0.495968,0.047280000000000044
open+uuv->speedboat,5,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.5510619999999999,0.48184799999999994,-0.069214
open+uuv->speedboat,10,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.533154,0.570618,0.03746399999999994
open+uuv->speedboat,10,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.564924,0.537004,-0.027919999999999945
open+uuv->speedboat,10,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.557992,0.5530120000000001,-0.0049799999999999844
open+uuv->speedboat,10,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.5429499999999999,0.649052,0.10610200000000003
open+uuv->speedboat,10,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.4314220000000001,0.523272,0.09184999999999988
open+uuv->speedboat,10,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.559156,0.609028,0.04987200000000003
open+uuv->speedboat,10,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.5516240000000001,0.499876,-0.05174800000000013
open+uuv->speedboat,10,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.563828,0.489324,-0.07450400000000001
open+uuv->speedboat,10,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.45058600000000004,0.5394239999999999,0.08883799999999986
open+uuv->speedboat,10,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.445216,0.52264,0.07742399999999999
open+uuv->speedboat,20,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.574694,0.6864359999999999,0.1117419999999999
open+uuv->speedboat,20,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.546996,0.613232,0.06623599999999996
open+uuv->speedboat,20,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.5814180000000001,0.669264,0.08784599999999987
open+uuv->speedboat,20,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.543056,0.619116,0.07606000000000002
open+uuv->speedboat,20,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.564816,0.664984,0.10016800000000003
open+uuv->speedboat,20,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.5546519999999999,0.6390440000000001,0.08439200000000013
open+uuv->speedboat,20,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.5252319999999999,0.601252,0.07602000000000009
open+uuv->speedboat,20,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.56156,0.7040519999999999,0.14249199999999995
open+uuv->speedboat,20,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.560008,0.6907639999999998,0.13075599999999987
open+uuv->speedboat,20,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.6040300000000001,0.66246,0.05842999999999998
open+uuv->speedboat,50,2027,0,CE-Proto,RegMahaProxy-TC,auc,0.543996,0.6679039999999999,0.12390799999999991
open+uuv->speedboat,50,2027,1,CE-Proto,RegMahaProxy-TC,auc,0.570546,0.722028,0.151482
open+uuv->speedboat,50,2027,2,CE-Proto,RegMahaProxy-TC,auc,0.58834,0.646164,0.057823999999999987
open+uuv->speedboat,50,2027,3,CE-Proto,RegMahaProxy-TC,auc,0.541302,0.6661600000000001,0.12485800000000014
open+uuv->speedboat,50,2027,4,CE-Proto,RegMahaProxy-TC,auc,0.4859159999999999,0.687952,0.2020360000000001
open+uuv->speedboat,50,2027,5,CE-Proto,RegMahaProxy-TC,auc,0.5464600000000001,0.6799399999999999,0.13347999999999982
open+uuv->speedboat,50,2027,6,CE-Proto,RegMahaProxy-TC,auc,0.5642640000000001,0.738304,0.17403999999999986
open+uuv->speedboat,50,2027,7,CE-Proto,RegMahaProxy-TC,auc,0.555616,0.6305560000000001,0.07494000000000012
open+uuv->speedboat,50,2027,8,CE-Proto,RegMahaProxy-TC,auc,0.42842399999999997,0.7156960000000001,0.28727200000000014
open+uuv->speedboat,50,2027,9,CE-Proto,RegMahaProxy-TC,auc,0.5598160000000001,0.6552439999999999,0.09542799999999985
open+uuv->speedboat,5,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.44643000000000005,0.526784,0.08035399999999998
open+uuv->speedboat,5,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.423676,0.533148,0.10947199999999996
open+uuv->speedboat,5,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.591312,0.61112,0.019808000000000048
open+uuv->speedboat,5,2028,3,CE-Proto,RegMahaProxy-TC,auc,0.5810559999999999,0.55054,-0.030515999999999877
open+uuv->speedboat,5,2028,4,CE-Proto,RegMahaProxy-TC,auc,0.6057999999999999,0.52538,-0.08041999999999994
open+uuv->speedboat,5,2028,5,CE-Proto,RegMahaProxy-TC,auc,0.565072,0.602046,0.03697399999999995
open+uuv->speedboat,5,2028,6,CE-Proto,RegMahaProxy-TC,auc,0.584168,0.579212,-0.0049560000000000715
open+uuv->speedboat,5,2028,7,CE-Proto,RegMahaProxy-TC,auc,0.424172,0.45705399999999996,0.03288199999999997
open+uuv->speedboat,5,2028,8,CE-Proto,RegMahaProxy-TC,auc,0.5910960000000001,0.6184,0.027303999999999884
open+uuv->speedboat,5,2028,9,CE-Proto,RegMahaProxy-TC,auc,0.40694800000000003,0.39051600000000003,-0.016432000000000002
open+uuv->speedboat,10,2028,0,CE-Proto,RegMahaProxy-TC,auc,0.582938,0.4917119999999999,-0.09122600000000003
open+uuv->speedboat,10,2028,1,CE-Proto,RegMahaProxy-TC,auc,0.608068,0.58786,-0.020208000000000004
open+uuv->speedboat,10,2028,2,CE-Proto,RegMahaProxy-TC,auc,0.5830919999999999,0.583184,9.200000000009201e-05
