task,k_shot,method,acc_mean,acc_std,acc_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count,pd_at_pfa_0.05_mean,pd_at_pfa_0.05_std,pd_at_pfa_0.05_count,pd_at_pfa_0.01_mean,pd_at_pfa_0.01_std,pd_at_pfa_0.01_count,pd_tc_mean,pd_tc_std,pd_tc_count,pfa_tc_mean,pfa_tc_std,pfa_tc_count
open+uuv->speedboat,10,CE-LinearHead,0.5384333333333334,0.03253293644943517,30,0.5332692540515008,0.05126931547286249,30,0.5610865333333332,0.040885979729784756,30,0.08066666666666669,0.02796220766447572,30,0.026400000000000014,0.013166310194505178,30,,,0,,,0
open+uuv->speedboat,10,CE-Proto,0.5158999999999999,0.03243385842624639,30,0.5012301346921354,0.04849426773200173,30,0.5303904,0.053404189321399315,30,0.06366666666666669,0.029956673694697393,30,0.018066666666666672,0.01298788117713064,30,,,0,,,0
open+uuv->speedboat,10,CosMetricHead,0.5330666666666667,0.03515868787843671,30,0.5060054231480074,0.05717707479610147,30,0.5513467999999999,0.04460312999872049,30,0.0906,0.037505493850441655,30,0.024000000000000004,0.018524913327546324,30,,,0,,,0
open+uuv->speedboat,10,RegMahaProxy-TC,0.5506999999999999,0.03730410904611093,30,0.5767154182303027,0.053534555421171734,30,0.5751478,0.04760478836347281,30,0.0979333333333333,0.0441704639443313,30,0.03046666666666668,0.02439719222586376,30,0.6242,0.12251654356973943,30,0.5227999999999999,0.14378777464698114,30
open+uuv->speedboat,20,CE-LinearHead,0.5623,0.02287620356735731,30,0.5684676871471217,0.034035792852258266,30,0.5855570666666666,0.032274803751034885,30,0.09020000000000002,0.030219199195213632,30,0.025200000000000007,0.014916780645554397,30,,,0,,,0
open+uuv->speedboat,20,CE-Proto,0.5381333333333334,0.03082736506387803,30,0.5436402827064365,0.042458633714519606,30,0.5578064666666666,0.04579395889591682,30,0.05913333333333336,0.024380225640851863,30,0.013000000000000005,0.009228890171255883,30,,,0,,,0
open+uuv->speedboat,20,CosMetricHead,0.5645333333333333,0.026308164896660578,30,0.5448744782271083,0.07024256013295133,30,0.5912664000000002,0.03542013822827832,30,0.10186666666666669,0.03694145725831368,30,0.029066666666666685,0.02010135238773979,30,,,0,,,0
open+uuv->speedboat,20,RegMahaProxy-TC,0.5913666666666668,0.0319109572937306,30,0.5507662001304918,0.06614471598444903,30,0.6330074000000001,0.03824977923271878,30,0.1306,0.04858593524311615,30,0.04433333333333335,0.026740558544360436,30,0.5116,0.10188485725529106,30,0.32886666666666664,0.0924452245398857,30
open+uuv->speedboat,50,CE-LinearHead,0.5781666666666666,0.019715359552867708,30,0.5871901890718747,0.022776297395391918,30,0.6099181333333333,0.02542594683922836,30,0.10400000000000002,0.04029546051270582,30,0.03493333333333335,0.02394668407443752,30,,,0,,,0
open+uuv->speedboat,50,CE-Proto,0.5344000000000001,0.030204589740291304,30,0.5351057123776928,0.034401590208769386,30,0.5586100666666666,0.04177331187115833,30,0.06673333333333335,0.019718594993197336,30,0.01666666666666667,0.00898018252380872,30,,,0,,,0
open+uuv->speedboat,50,CosMetricHead,0.5926333333333332,0.03468725626402923,30,0.5667529117453406,0.057593483468158214,30,0.6311676,0.035124177951946375,30,0.12393333333333333,0.04179253631874982,30,0.036733333333333354,0.01844644313594944,30,,,0,,,0
open+uuv->speedboat,50,RegMahaProxy-TC,0.5997999999999999,0.026939779585919612,30,0.4702833451921004,0.07879896130349119,30,0.6757530666666667,0.025983428807917038,30,0.16613333333333336,0.054958124079146395,30,0.06286666666666668,0.038815863565916146,30,0.36480000000000007,0.09090290386469776,30,0.1652,0.06079382908792975,30
