task,k_shot,seed,repeat,feature_mode,src_tail_weight,group_disjoint,support_groups,query_groups,method,acc,f1,auc,pd_at_pfa_0.05,pd_at_pfa_0.01,pd_tc,pfa_tc,threshold_tc
open+speedboat->uuv,5,2028,1,logmel,0.0,True,10,71,RegMahaProxy-TC,0.58,0.594855305466238,0.6089888888888889,0.16333333333333333,0.09666666666666666,0.6166666666666667,0.45666666666666667,-1.242716217041016
open+speedboat->uuv,5,2028,2,logmel,0.0,True,10,69,CE-Proto,0.7616666666666667,0.7930535455861071,0.8057777777777779,0.006666666666666667,0.0,,,
open+speedboat->uuv,5,2028,2,logmel,0.0,True,10,69,CE-LinearHead,0.6766666666666666,0.7147058823529412,0.7617444444444446,0.30666666666666664,0.25666666666666665,,,
open+speedboat->uuv,5,2028,2,logmel,0.0,True,10,69,CosMetricHead,0.675,0.6889952153110048,0.6843888888888889,0.03666666666666667,0.0033333333333333335,,,
open+speedboat->uuv,5,2028,2,logmel,0.0,True,10,69,RegMahaProxy-TC,0.65,0.7017045454545454,0.7347888888888889,0.27666666666666667,0.16333333333333333,0.8233333333333334,0.5233333333333333,-1.9020065307617189
open+speedboat->uuv,10,2028,0,logmel,0.0,True,20,63,CE-Proto,0.5615550755939525,0.5012285012285013,0.6656032719836401,0.25766871165644173,0.10429447852760736,,,
open+speedboat->uuv,10,2028,0,logmel,0.0,True,20,63,CE-LinearHead,0.7300215982721382,0.5819397993311036,0.7170961145194273,0.22085889570552147,0.049079754601226995,,,
open+speedboat->uuv,10,2028,0,logmel,0.0,True,20,63,CosMetricHead,0.7580993520518359,0.5789473684210527,0.8186503067484664,0.294478527607362,0.09815950920245399,,,
open+speedboat->uuv,10,2028,0,logmel,0.0,True,20,63,RegMahaProxy-TC,0.7429805615550756,0.6530612244897959,0.8126584867075666,0.3067484662576687,0.05521472392638037,0.6871165644171779,0.22666666666666666,-2.2765884399414062
open+speedboat->uuv,10,2028,1,logmel,0.0,True,20,64,CE-Proto,0.655241935483871,0.6104783599088838,0.7786054421768709,0.39285714285714285,0.025510204081632654,,,
open+speedboat->uuv,10,2028,1,logmel,0.0,True,20,64,CE-LinearHead,0.6834677419354839,0.6142506142506142,0.6684353741496598,0.20918367346938777,0.025510204081632654,,,
open+speedboat->uuv,10,2028,1,logmel,0.0,True,20,64,CosMetricHead,0.8286290322580645,0.8089887640449438,0.8841836734693878,0.23469387755102042,0.09693877551020408,,,
open+speedboat->uuv,10,2028,1,logmel,0.0,True,20,64,RegMahaProxy-TC,0.7439516129032258,0.7196467991169978,0.8132142857142857,0.25,0.015306122448979591,0.8316326530612245,0.31333333333333335,0.0326518058776849
open+speedboat->uuv,10,2028,2,logmel,0.0,True,20,65,CE-Proto,0.7685185185185185,0.7044917257683215,0.77925,0.22083333333333333,0.04583333333333333,,,
open+speedboat->uuv,10,2028,2,logmel,0.0,True,20,65,CE-LinearHead,0.6851851851851852,0.5641025641025641,0.7641111111111111,0.21666666666666667,0.016666666666666666,,,
open+speedboat->uuv,10,2028,2,logmel,0.0,True,20,65,CosMetricHead,0.7277777777777777,0.6797385620915033,0.8015416666666667,0.1875,0.07083333333333333,,,
open+speedboat->uuv,10,2028,2,logmel,0.0,True,20,65,RegMahaProxy-TC,0.687037037037037,0.6396588486140725,0.7659166666666666,0.1375,0.029166666666666667,0.625,0.2633333333333333,-1.3426887512207037
open+speedboat->uuv,20,2028,0,logmel,0.0,True,30,56,CE-Proto,0.6637168141592921,0.5730337078651685,0.7215789473684211,0.125,0.0,,,
open+speedboat->uuv,20,2028,0,logmel,0.0,True,30,56,CE-LinearHead,0.7146017699115044,0.6006191950464397,0.6903289473684211,0.17763157894736842,0.039473684210526314,,,
open+speedboat->uuv,20,2028,0,logmel,0.0,True,30,56,CosMetricHead,0.7234513274336283,0.50199203187251,0.7802850877192983,0.07236842105263158,0.013157894736842105,,,
open+speedboat->uuv,20,2028,0,logmel,0.0,True,30,56,RegMahaProxy-TC,0.7411504424778761,0.5375494071146245,0.7955701754385965,0.26973684210526316,0.05263157894736842,0.4473684210526316,0.11,-0.9749270439147932
open+speedboat->uuv,20,2028,1,logmel,0.0,True,28,57,CE-Proto,0.855,0.8722466960352423,0.9631222222222222,0.7766666666666666,0.47333333333333333,,,
open+speedboat->uuv,20,2028,1,logmel,0.0,True,28,57,CE-LinearHead,0.87,0.8785046728971962,0.9394555555555556,0.6,0.21666666666666667,,,
open+speedboat->uuv,20,2028,1,logmel,0.0,True,28,57,CosMetricHead,0.8783333333333333,0.8793388429752066,0.9233333333333333,0.5266666666666666,0.03,,,
open+speedboat->uuv,20,2028,1,logmel,0.0,True,28,57,RegMahaProxy-TC,0.8766666666666667,0.8790849673202614,0.9373444444444445,0.6433333333333333,0.3233333333333333,0.8966666666666666,0.14333333333333334,-1.298244285583495
open+speedboat->uuv,20,2028,2,logmel,0.0,True,30,55,CE-Proto,0.6683673469387755,0.39814814814814814,0.6453985507246376,0.3804347826086957,0.2717391304347826,,,
open+speedboat->uuv,20,2028,2,logmel,0.0,True,30,55,CE-LinearHead,0.7142857142857143,0.43434343434343436,0.5519565217391305,0.29347826086956524,0.021739130434782608,,,
open+speedboat->uuv,20,2028,2,logmel,0.0,True,30,55,CosMetricHead,0.6989795918367347,0.4380952380952381,0.6954710144927536,0.25,0.0,,,
open+speedboat->uuv,20,2028,2,logmel,0.0,True,30,55,RegMahaProxy-TC,0.7908163265306123,0.4875,0.773840579710145,0.29347826086956524,0.0,0.42391304347826086,0.09666666666666666,0.004597377777100772
open+uuv->speedboat,5,2026,0,logmel,0.0,True,10,185,CE-Proto,0.5283333333333333,0.593974175035868,0.5260222222222222,0.06,0.02666666666666667,,,
open+uuv->speedboat,5,2026,0,logmel,0.0,True,10,185,CE-LinearHead,0.5316666666666666,0.6113416320885201,0.5040222222222221,0.01,0.0,,,
open+uuv->speedboat,5,2026,0,logmel,0.0,True,10,185,CosMetricHead,0.535,0.6042553191489362,0.5462222222222222,0.03,0.006666666666666667,,,
open+uuv->speedboat,5,2026,0,logmel,0.0,True,10,185,RegMahaProxy-TC,0.54,0.6584158415841584,0.5544222222222221,0.04,0.023333333333333334,0.8866666666666667,0.8066666666666666,-2.1015796661376953
open+uuv->speedboat,5,2026,1,logmel,0.0,True,10,189,CE-Proto,0.49833333333333335,0.4086444007858546,0.4895333333333333,0.043333333333333335,0.01,,,
open+uuv->speedboat,5,2026,1,logmel,0.0,True,10,189,CE-LinearHead,0.5166666666666667,0.40329218106995884,0.5483777777777779,0.07666666666666666,0.013333333333333334,,,
open+uuv->speedboat,5,2026,1,logmel,0.0,True,10,189,CosMetricHead,0.47,0.5210843373493976,0.4816666666666667,0.08,0.05,,,
open+uuv->speedboat,5,2026,1,logmel,0.0,True,10,189,RegMahaProxy-TC,0.5,0.506578947368421,0.5146,0.07666666666666666,0.01,0.5133333333333333,0.5133333333333333,-0.15314941406250004
open+uuv->speedboat,5,2026,2,logmel,0.0,True,10,187,CE-Proto,0.49333333333333335,0.45126353790613716,0.48654444444444445,0.03,0.0,,,
open+uuv->speedboat,5,2026,2,logmel,0.0,True,10,187,CE-LinearHead,0.5116666666666667,0.47584973166368516,0.5370666666666667,0.03666666666666667,0.006666666666666667,,,
open+uuv->speedboat,5,2026,2,logmel,0.0,True,10,187,CosMetricHead,0.525,0.5567651632970451,0.5204555555555556,0.08,0.01,,,
open+uuv->speedboat,5,2026,2,logmel,0.0,True,10,187,RegMahaProxy-TC,0.615,0.6685796269727403,0.6451888888888889,0.10666666666666667,0.023333333333333334,0.7766666666666666,0.5466666666666666,-0.13361473083496095
open+uuv->speedboat,10,2026,0,logmel,0.0,True,20,175,CE-Proto,0.47833333333333333,0.49270664505672607,0.4878222222222222,0.04,0.0033333333333333335,,,
